,cpu_load,mem_avail,timestamp,run,run_start_cutoff,run_end_cutoff
326,88.1,26101047296,1526055378873.7017,0,1526055328825.4666,1526055388017.6387
327,92.6,26098270208,1526055379073.423,0,1526055328825.4666,1526055388017.6387
328,92.9,26095529984,1526055379273.4238,0,1526055328825.4666,1526055388017.6387
329,92.8,26095616000,1526055379472.7732,0,1526055328825.4666,1526055388017.6387
330,90.7,26095509504,1526055379678.8313,0,1526055328825.4666,1526055388017.6387
331,89.9,26101587968,1526055379872.7332,0,1526055328825.4666,1526055388017.6387
332,86.4,26094931968,1526055380082.9905,0,1526055328825.4666,1526055388017.6387
333,91.6,26096902144,1526055380277.4531,0,1526055328825.4666,1526055388017.6387
334,88.2,26099646464,1526055380473.1467,0,1526055328825.4666,1526055388017.6387
335,87.9,26097258496,1526055380677.5388,0,1526055328825.4666,1526055388017.6387
336,91.0,26098941952,1526055380877.5125,0,1526055328825.4666,1526055388017.6387
337,91.3,26097086464,1526055381073.385,0,1526055328825.4666,1526055388017.6387
338,88.2,26095845376,1526055381273.0642,0,1526055328825.4666,1526055388017.6387
339,93.9,26096619520,1526055381477.5542,0,1526055328825.4666,1526055388017.6387
340,94.1,26093715456,1526055381678.1536,0,1526055328825.4666,1526055388017.6387
341,91.6,26093527040,1526055381874.222,0,1526055328825.4666,1526055388017.6387
342,91.7,26095525888,1526055382077.4922,0,1526055328825.4666,1526055388017.6387
343,94.4,26095366144,1526055382280.8381,0,1526055328825.4666,1526055388017.6387
344,92.8,26100510720,1526055382473.2249,0,1526055328825.4666,1526055388017.6387
345,86.5,26092707840,1526055382676.2449,0,1526055328825.4666,1526055388017.6387
346,89.8,26063704064,1526055382873.8208,0,1526055328825.4666,1526055388017.6387
347,90.3,26066358272,1526055383074.9187,0,1526055328825.4666,1526055388017.6387
348,92.5,26068754432,1526055383277.2202,0,1526055328825.4666,1526055388017.6387
349,85.6,26069172224,1526055383478.4673,0,1526055328825.4666,1526055388017.6387
350,86.9,26069766144,1526055383681.4023,0,1526055328825.4666,1526055388017.6387
